count,score0,score1,diff,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12
1,41,49,-8,-24,-4,-8,-9,-8,-7,-21,-7,-5,-2,-3,-8
2,84,17,67,16,30,44,38,40,60,65,77,73,69,66,67
3,17,50,-33,10,10,-14,-13,-12,-13,-18,-28,-24,-23,-28,-33
4,32,38,-6,-14,-9,-7,-11,-10,-6,-9,-14,0,6,-4,-6
5,26,57,-31,-2,0,-2,-46,-43,-49,-35,-37,-38,-36,-35,-31
6,9,51,-42,-5,-37,-35,-38,-35,-36,-38,-39,-40,-42,-38,-42
7,96,49,47,6,40,38,40,38,36,62,59,87,87,67,47
8,57,49,8,22,20,19,13,17,20,-8,-8,6,-4,10,8
9,25,34,-9,-1,-21,-19,-20,-22,-24,-22,-8,-6,-1,-4,-9
10,46,55,-9,-4,-26,-10,-34,-32,-31,-30,-27,-22,-18,-4,-9
11,101,28,73,-2,12,26,20,40,40,20,42,44,46,68,73
12,37,29,8,1,3,6,-4,12,15,18,2,5,11,10,8
13,49,55,-6,-2,18,34,36,14,17,12,15,5,7,-9,-6
14,10,41,-31,3,5,8,7,-13,-18,-23,-22,-26,-25,-26,-31
15,56,47,9,-2,-22,-28,-26,-24,-26,-42,-24,-22,-6,10,9
16,0,104,-104,-2,-4,-18,-32,-38,-39,-41,-42,-44,-58,-98,-104
17,65,31,34,28,22,22,21,19,35,33,49,53,33,33,34
18,131,5,126,-2,22,28,27,26,27,26,48,66,96,98,126
19,60,11,49,20,10,12,13,12,14,16,16,36,42,48,49
20,107,12,95,46,44,47,45,43,44,88,93,93,99,101,95
21,72,80,-8,16,6,8,7,27,-3,-8,-36,-22,-18,-24,-8
22,34,52,-18,2,12,18,32,30,29,28,0,-14,-19,-17,-18
23,13,78,-65,-20,-34,-35,-36,-56,-50,-51,-65,-67,-65,-60,-65
24,34,61,-27,-14,-19,-24,-21,-15,-43,-23,-25,-23,-25,-30,-27
25,25,40,-15,-1,-1,-7,-12,-10,-8,-22,-32,-34,-36,-16,-15
26,36,21,15,10,13,12,11,10,-4,-5,-7,-6,-4,-5,15
27,96,6,90,5,3,17,35,37,43,44,68,74,70,76,90
28,34,46,-12,-1,-2,-2,2,1,-29,-34,-16,-18,-20,-8,-12
29,51,23,28,2,2,30,14,17,19,21,20,14,16,22,28
30,38,29,9,-2,-20,-4,-2,-8,-6,-7,-8,-6,-7,7,9
31,19,115,-96,-1,-7,-8,-6,-5,-49,-73,-89,-91,-111,-112,-96
32,44,111,-67,16,-28,-42,-47,-49,-47,-47,-27,-21,-37,-65,-67
33,21,27,-6,0,4,18,12,6,3,3,3,6,1,-5,-6
34,82,58,24,2,4,18,48,49,29,59,41,35,37,38,24
35,46,45,1,0,16,15,14,17,23,29,28,29,9,23,1
36,53,53,0,-4,-5,-6,12,13,12,16,18,46,46,6,0
37,31,86,-55,-16,-18,-20,-40,-42,-70,-75,-78,-76,-84,-83,-55
38,28,7,21,-1,0,-2,-3,1,17,18,20,21,20,18,21
39,47,28,19,1,7,21,35,37,23,25,11,13,15,18,19
40,48,86,-38,-5,-19,-11,11,5,5,3,-11,-5,-45,-33,-38
41,35,70,-35,-20,-30,-12,2,-4,-26,-27,-28,-38,-36,-35,-35
42,45,24,21,-14,-15,5,6,7,5,25,26,25,23,19,21
43,32,31,1,5,-9,-9,-3,-8,-13,-17,-3,-6,-4,-4,1
44,43,61,-18,0,3,-11,3,2,6,-14,-34,-40,-40,-24,-18
45,16,79,-63,0,5,2,-8,-32,-29,-23,-29,-63,-64,-65,-63
46,6,51,-45,-5,-6,-22,-23,-22,-21,-19,-17,-27,-37,-40,-45
47,25,15,10,0,1,4,6,7,21,22,24,10,9,9,10
48,37,14,23,-5,-6,-2,-2,4,9,23,21,23,19,17,23
49,24,58,-34,-5,-4,-5,-19,-18,-24,-25,-55,-53,-49,-33,-34
50,33,39,-6,-16,-17,-14,-28,-28,-24,-18,-20,-6,-11,-12,-6
51,4,27,-23,2,-2,-12,-13,-15,-19,-20,-22,-23,-21,-22,-23
52,4,109,-105,-26,-24,-22,-22,-38,-50,-64,-65,-66,-90,-91,-105
53,1,60,-59,-16,-32,-38,-39,-40,-42,-43,-42,-52,-53,-54,-59
54,46,49,-3,-6,14,13,37,32,26,12,11,-3,-5,-3,-3
55,67,34,33,3,-7,13,10,9,15,39,37,43,49,31,33
56,53,41,12,-14,-24,-8,-2,0,-1,17,18,23,9,7,12
57,27,37,-10,3,-11,-8,-4,-20,-26,-22,-20,-18,-12,-9,-10
58,36,40,-4,-2,4,20,19,-11,-9,-7,-11,-5,-1,-3,-4
59,19,94,-75,1,3,-1,-1,-15,-16,0,-28,-48,-64,-70,-75
60,16,94,-78,-14,-19,-33,-34,-48,-72,-73,-78,-83,-88,-94,-78
61,35,17,18,-1,3,3,-3,-3,11,9,5,21,19,17,18
62,44,34,10,18,19,25,11,9,7,8,24,22,24,10,10
63,20,49,-29,2,1,-4,-6,-1,-2,-20,-40,-42,-32,-31,-29
64,56,11,45,3,3,9,10,8,2,6,16,20,48,45,45
65,36,47,-11,14,30,10,12,10,-4,-6,-4,-2,-4,-5,-11
66,72,4,68,2,24,40,46,47,48,46,44,50,53,65,68
67,28,18,10,2,-12,-9,-12,-7,-5,-4,-2,-3,3,5,10
68,32,46,-14,-1,-29,-30,-30,-35,-40,-38,-39,-33,-31,-9,-14
69,49,66,-17,-6,-2,-8,-24,-30,-29,-43,-44,-60,-40,-16,-17
70,20,75,-55,-14,-18,-20,-34,-31,-32,-33,-32,-38,-66,-50,-55
71,57,36,21,-1,25,27,43,27,26,24,25,35,37,37,21
72,37,54,-17,6,10,4,2,-24,-25,-25,-37,-15,-10,-15,-17
73,65,17,48,-5,23,22,21,20,19,13,27,33,49,50,48
74,92,40,52,-1,-2,-12,-34,-32,4,34,36,30,30,50,52
75,44,48,-4,-14,-34,-36,-46,-42,-40,-41,-39,-23,-24,-20,-4
76,70,73,-3,-16,-14,-14,-14,4,-20,2,30,6,5,3,-3
77,20,55,-35,-20,-34,-35,-35,-33,-32,-46,-43,-49,-47,-41,-35
78,16,13,3,5,4,6,8,6,5,-1,1,5,3,2,3
