count,score0,score1,diff,winner,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12
1,28,25,3,P1:Normal,-16,4,3,4,5,7,5,3,5,4,6,3
2,31,41,-10,CPU:Hard,2,8,6,4,-24,-18,-19,-18,-24,-22,-8,-10
3,45,19,26,P1:Normal,6,6,8,26,28,26,25,24,40,39,25,26
4,44,42,2,P1:Normal,-2,1,5,3,2,-4,-5,-31,-35,-19,1,2
5,29,13,16,P1:Normal,3,9,10,9,11,5,6,4,18,19,15,16
6,13,27,-14,CPU:Hard,2,3,5,-11,-12,-11,-13,-11,-14,-19,-17,-14
7,34,26,8,P1:Normal,0,0,14,13,17,31,27,26,27,13,7,8
8,3,54,-51,CPU:Hard,-2,-18,-28,-29,-26,-32,-38,-39,-44,-45,-46,-51
9,3,28,-25,CPU:Hard,-1,1,1,-9,-10,-22,-23,-22,-23,-24,-25,-25
10,44,62,-18,CPU:Hard,1,-9,-19,-21,-18,0,-24,-38,-38,-36,-38,-18
11,36,51,-15,CPU:Hard,-28,-25,-19,-21,-22,-16,-30,-30,-24,-10,-9,-15
12,33,20,13,P1:Normal,4,6,7,7,11,14,20,22,16,2,8,13
13,50,21,29,P1:Normal,3,2,30,10,12,14,15,17,22,26,28,29
14,22,30,-8,CPU:Hard,-2,0,1,0,2,-12,-11,-7,-5,5,-7,-8
15,30,15,15,P1:Normal,-6,-8,-9,3,4,2,1,-1,-2,0,14,15
16,10,31,-21,CPU:Hard,-1,-7,-8,-9,-6,-4,-20,-20,-16,-15,-20,-21
17,47,31,16,P1:Normal,2,16,15,14,13,19,23,24,38,39,11,16
18,8,42,-34,CPU:Hard,1,2,4,6,4,6,5,4,-10,-15,-20,-34
19,18,46,-28,CPU:Hard,14,13,14,11,13,7,-19,-24,-26,-27,-29,-28
20,30,70,-40,CPU:Hard,0,14,-18,-20,-21,-27,-25,-26,-12,-22,-38,-40
21,8,62,-54,CPU:Hard,-2,-8,-30,-44,-46,-49,-43,-53,-54,-53,-52,-54
22,15,16,-1,CPU:Hard,0,3,3,3,3,3,-13,-11,-6,-5,-3,-1
23,40,40,0,draw,1,1,0,4,5,4,-2,-20,-34,-30,-16,0
24,12,46,-34,CPU:Hard,-14,-14,-19,-24,-25,-31,-45,-42,-43,-41,-40,-34
25,19,13,6,P1:Normal,-1,5,11,14,8,10,9,8,7,5,4,6
26,32,51,-19,CPU:Hard,12,16,15,1,-1,-6,-18,-34,-33,-19,-20,-19
27,30,74,-44,CPU:Hard,-2,2,20,4,3,2,-22,-16,-17,-15,-16,-44
28,13,11,2,P1:Normal,-1,1,0,6,5,6,5,9,8,6,4,2
29,21,40,-19,CPU:Hard,4,5,19,5,4,4,-2,-3,-5,-3,-5,-19
30,23,100,-77,CPU:Hard,-1,-2,14,17,19,-9,-23,-51,-65,-79,-78,-77
31,79,28,51,P1:Normal,-1,21,19,37,55,57,56,40,34,48,46,51
32,85,4,81,P1:Normal,18,32,34,52,53,54,57,59,65,61,79,81
33,9,19,-10,CPU:Hard,0,2,4,6,5,4,3,4,5,-9,-8,-10
34,6,63,-57,CPU:Hard,-2,-42,-47,-48,-46,-48,-54,-53,-52,-54,-59,-57
35,12,11,1,P1:Normal,-1,-2,-4,-2,1,-5,-3,-2,-3,-1,0,1
36,34,36,-2,CPU:Hard,-1,4,6,7,11,11,29,30,29,15,-5,-2
37,31,28,3,P1:Normal,14,30,30,27,25,24,4,4,3,2,3,3
38,27,31,-4,CPU:Hard,-10,-11,-12,-6,8,7,9,10,6,6,-8,-4
39,70,18,52,P1:Normal,28,27,26,40,30,46,48,42,48,49,51,52
40,35,19,16,P1:Normal,18,19,18,17,16,2,1,6,5,9,10,16
41,57,17,40,P1:Normal,-1,0,-3,-9,-7,9,9,9,4,30,42,40
42,42,40,2,P1:Normal,1,15,14,16,19,33,35,19,13,12,-4,2
43,40,23,17,P1:Normal,5,-1,-2,-3,-4,-5,-11,-12,4,7,1,17
44,33,26,7,P1:Normal,-1,-3,13,12,26,27,26,25,27,23,9,7
45,23,42,-19,CPU:Hard,-1,13,-15,-17,-18,-20,-18,-19,-20,-26,-20,-19
46,38,19,19,P1:Normal,14,16,11,12,7,4,3,4,0,-1,17,19
47,3,16,-13,CPU:Hard,0,1,0,-1,-2,-3,-4,-5,-8,-6,-8,-13
48,32,42,-10,CPU:Hard,1,-15,-21,-20,-21,-23,-24,-38,-39,-23,-24,-10
49,28,34,-6,CPU:Hard,2,1,7,13,15,16,15,18,24,8,-8,-6
50,45,13,32,P1:Normal,1,-3,13,13,16,18,34,40,36,37,35,32
51,35,25,10,P1:Normal,2,-4,-5,11,12,14,24,22,25,26,10,10
